dataset,seed,chunk_size,embedding,reranking,question,gold_answer,generated_answer,hit_at_k,latency_ms
hotpot,42,256,baai,True,Saltillo Engine is an engine plant in Ramos Arizpe that belongs to the American subsidiary of what company?,Fiat Chrysler Automobiles N.V.,Chrysler Corporation.,0,1606.6
hotpot,42,256,baai,True,What class of instrument does Apatim Majumdar play?,strings,Sarod.,0,1173.75
hotpot,42,256,baai,True,To where did the war criminal who is the fictional defendant in the film After the Truth flee in real life ?,South America,South America.,1,1335.19
hotpot,42,256,baai,True,"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in Azusa, California, that was founded in 1899, and is under the auspices of what religion?",evangelical Christian,Wesleyan.,0,1354.59
hotpot,42,256,baai,True,"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?",Tropicana Casino & Resort,Tropicana Hotel.,0,1230.47
hotpot,42,256,baai,True,"In the NASA mission where Moon trees were taken into space, what was the nickname of the Command Module?","""Kitty Hawk""",Columbia.,0,1290.94
hotpot,42,256,baai,True,What is the name of the film directed by Alex Cox  adapted from a 1606 play starring Diana Quick as the Dutchess?,Revengers Tragedy,Revengers Tragedy.,1,1310.29
hotpot,42,256,baai,True,Who is the film dedicated to that Paramount Classics and MTV Films co-purchased the rights to?,Sam Phillips,Hustle & Flow,0,1285.23
hotpot,42,256,baai,True,What American indie rock group first had Jesse Sandoval as the drummer and now has Jon Sortland on drums?,The Shins,The Shins.,1,1242.41
hotpot,42,256,baai,True,Who conducted the negotiations  with the owners and the longest serving commandant of Auschwitz concentration and extermination camp?,Rudolf Höss,Wirth and Höss.,1,1189.83
hotpot,42,256,baai,True,UFO Magazine covers what subject named for Charles Hoy Fort?,Fortean,UFO phenomena.,1,1224.75
hotpot,42,256,baai,True,"Which ""Roseanne"" star is in Scream 2?",Laurie Metcalf,Laurie Metcalf.,0,1207.61
hotpot,42,256,baai,True,12 Years a Slave starred what British actor born 10 July 1977),Chiwetel Ejiofor,Chiwetel Ejiofor,1,1219.88
hotpot,42,256,baai,True,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,The Changing Scottish Landscape,No information.,0,1318.85
hotpot,42,256,baai,True," Which movie did Disney produce first,  The Many Adventures of Winnie the Pooh or Ride a Wild Pony?",Ride a Wild Pony,The Many Adventures.,0,1221.64
hotpot,42,256,baai,True,"What Cantonese slang term can mean both ""ghost man"" and to refer to Westerners?",Gweilo,Gweilo,1,1216.76
hotpot,42,256,baai,True,"Which king of Northumbria did The ""Historia"" gives the abbot central place in his election as king",Guthred or Guthfrith,Guthred.,1,1263.3
hotpot,42,256,baai,True,What 3 countries are part of the legal name of the airline that merged with Braathens in 2004?,Denmark–Norway–Sweden,Norway Sweden Denmark,0,1404.72
hotpot,42,256,baai,True,The Distribution of Industry act was passed by a man who was prime minister when? ,1945 to 1951,1937,0,1193.97
hotpot,42,256,baai,True,The Dogwoman telemovies were created by an actress born in what year?,1961,Magda Szubanski.,0,1118.2
hotpot,42,256,baai,True,Baraki Barak District is situated in the western part of a province whose capital is what?,Puli Alam,Logar Province.,0,1209.05
hotpot,42,256,baai,True,What NIFL Premier Intermediate League team did Sean Connor play for?,Distillery,Newington Youth.,0,1258.49
hotpot,42,256,baai,True,"Which head coach has led their team for a longer period of time, Tim Cluess or Steve Prohm?",Tim Cluess,Tim Cluess.,1,1292.03
hotpot,42,256,baai,True,The first female correspondent for Inside the NFL was replaced by who on the show American Ninja Warrior?,Kristine Leahy,Angela Sun.,0,1199.83
hotpot,42,256,baai,True,"In the 1970s, which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?",Army & Navy Stores,House of Fraser.,0,1206.46
hotpot,42,256,baai,True,"Which film does ""Naked Weapon"" follow in the ""Naked"" series?","""Naked Killer""",Lethal Weapon 4.,0,1247.98
hotpot,42,256,baai,True,"What type of license is the open source roguelike video game video released 2012, in which a subset of it's pricing model is a called free-to-play, licensed under?",GNU GPLv3,Open Source License.,0,1294.35
hotpot,42,256,baai,True,In what year was the coach who led the 2007 South Carolina Gamecocks football team in his third season as USC head coach born?,1945,Not provided.,0,1187.11
hotpot,42,256,baai,True,"Who has released more solo albums, Nick Carter or Brady Seals?",Brady Seals,No information available.,1,1178.3
hotpot,42,256,baai,True,What was the 2010 population of the town where Black Crescent Mountain was located? ,310,Not directly stated.,0,1282.98
hotpot,42,256,baai,True,What where both Hawker Hurricane and No. 1455 Flight apart of?,Royal Air Force,Royal Air Force.,1,1180.99
hotpot,42,256,baai,True,What is the population of the city that Munsonville is in the northwest corner of?,729 at the 2010 census,Not provided.,0,1192.62
