id,question,context,gold_answer,dataset
5ae143ed55429920d5234360,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,"Moscow State University: Lomonosov Moscow State University (MSU; Russian: Московский государственный университет имени М.  В.  Ломоносова , often abbreviated МГУ) is a coeducational and public research university located in Moscow, Russia.  It was founded on January 25, 1755 by Mikhail Lomonosov.  MSU was renamed after Lomonosov in 1940 and was then known as ""Lomonosov University"".  It also houses the tallest educational building in the world.  It is rated among the universities with the best reputation in the world.  Its current rector is Viktor Sadovnichiy. Sergei Roshchin: Sergei Aleksandrovich Roshchin (Russian: Серге́й Александрович Рощин ; born January 28, 1989) is a Russian football defender, who last played for FC Znamya Truda Orekhovo-Zuyevo. Sergei Kornilenko: Sergei Aleksandrovich Kornilenko (Belarusian: Сяргей Аляксандравіч Карніленка ; Russian: Сергей Александрович Корниленко; born 14 June 1983) is a Belarusian professional footballer who plays as a striker for FC Krylia Sovetov Samara of the Russian Premier League.  In Belarus, both Belarusian and Russian languages are official.  Thus his name, usually transliterated as Sergei Kornilenko (Russian: Серге́й Корниленко ), can be alternatively spelled as Syarhey Karnilenka (Belarusian: Сяргей Карніленка ). Sergei Chikildin: Sergei Aleksandrovich Chikildin (Russian: Серге́й Александрович Чикильдин ; born January 25, 1991) is a Russian football goalkeeper, who last played for FC Kavkaztransgaz-2005 Ryzdvyany. Sergei Sholokhov: Sergei Aleksandrovich Sholokhov (Russian: Серге́й Александрович Шолохов ; born September 6, 1980) is a Russian professional football player.  As of August 2009, he plays in the Russian Second Division for FC Avangard Kursk.  Before 2004 he was known as Sergei Kocherga (Russian: Серге́й Кочерга ). Sergei Panchin: Sergei Aleksandrovich Panchin (Russian: Серге́й Александрович Панчин ; born 15 December 1993) is a Russian football goalkeeper. Sergei Kosarev: Sergei Aleksandrovich Kosarev (Russian: Серге́й Александрович Косарев ; born January 29, 1993) is a Russian football midfielder, who currently plays for FC MITOS Novocherkassk. Sergei Dmitrochenko: Sergei Aleksandrovich Dmitrochenko (Russian: Серге́й Александрович Дмитроченко ; born June 21, 1993) is a Russian football midfielder. Sergei Aleksandrovich Tokarev: Sergei Aleksandrovich Tokarev (Russian: Серге́й Алекса́ндрович То́карев , 29 December 1899 – 19 April 1985) was a Russian scholar, ethnographer, historian, researcher of religious beliefs, doctor of historical sciences, and professor at Moscow State University. Sergei Aleksandrovich Kudryavtsev: Sergei Aleksandrovich Kudryavtsev (1903 – April 25, 1938) was a Ukrainian communist Soviet politician.  He was born in Kharkiv.  During the Great Purge, he was arrested on October 13, 1937 and later executed by firing squad.  After the death of Joseph Stalin, he was rehabilitated in 1956.",1755,hotpot
5abc19705542993a06baf86e,Black Book starred the actress and writer of what heritage?,"Black Book of the Admiralty: The Black Book of the Admiralty is a compilation of English admiralty law created over the course of several English monarchs' reigns, including the most important decisions of the High Court of Admiralty.  Its starting point is the Rolls of Oléron, which were promulgated in c. 1160 by Eleanor of Aquitaine, although the ""Black Book"" is undoubtedly later.  The book itself states that the High Court of Admiralty was established during the reign of Edward I (1272–1307), although more recent scholarship places the establishment at c. 1360 during the reign of Edward III.  Apart from the Rolls of Oléron, the earliest statute referred to is the ""Liber memorandorum"" (1338), of which a separate manuscript copy is available in the archives of the City of London. Black Book (World War II): The Black Book: The Ruthless Murder of Jews by German-Fascist Invaders Throughout the Temporarily-Occupied Regions of the Soviet Union and in the German Nazi Death Camps established on occupied Polish soil during the War 1941–1945 alternatively The Black Book of the Holocaust, or simply The Black Book (Russian: Чёрная Книга , ""Chornaya Kniga""; Yiddish: דאָס שוואַרצע בוך‎ , ""Dos shvartse bukh""), was a result of the collaborative effort by the Jewish Anti-Fascist Committee (JAC) and members of the American Jewish community to document the anti-Jewish crimes of the Holocaust and the participation of Jews in the fighting and the resistance movement against the Nazis during World War II. Books of Clanranald: The Books of Clanranald are two paper manuscripts that date to about the early 18th century.  The books are written in Classical Gaelic, and are best known for their traditional account of the history of Clan Donald.  The manuscripts are commonly referred to as the ""Red Book"" and the ""Black Book"".  The name ""Red Book"", however, may actually be a misnomer.  Although Gaelic tradition on South Uist notes a ""Red Book of MacMhuirich"", it is uncertain whether this book is identical to the surviving manuscript.  In fact, the manuscript may be partly derived from the red book of tradition.  The name ""Black Book"" may have been coined in order to distinguish it from the so-called ""Red Book"". Black Book (novel): Black Book (Dutch: Zwartboek ) is a Dutch-language 2006 thriller novel by Laurens Abbink Spaink.  It is the novelization of the Dutch film ""Black Book"" (2006).  It tells the story of a young Jewish woman, Rachel Stein, and her struggle for survival during and after the Second World War.  The book has a photo section, and an afterword by Paul Verhoeven and Gerard Soeteman. Black Book (non-standard disc format): Black Book is an unofficial designation of optical disc (OD) formats that defy official standards for CD, DVD, HD DVD and Blu-ray Discs. Most formats considered Black Book are formats used for video games or Digital Rights Management. Le Livre noir du capitalisme: Le Livre Noir du Capitalisme (""The Black Book of Capitalism"") is a 1998 French",Dutch,hotpot
5ac3e0f7554299194317388b,Which actor does American Beauty and American Beauty have in common?,"American Beauty (1927 film): American Beauty is a lost 1927 American silent film romantic drama produced and distributed by First National Pictures.  This film was directed by Richard Wallace and starred Billie Dove.  It was based on a short story ""American Beauty"" by Wallace Irwin.  She is supported by Walter McGrail and Margaret Livingston. Miss American Beauty 1963: This is the first edition of the Miss American Beauty pageant.  The Miss American Beauty pageant was created to select a USA representative to the Miss International.  A live pageant was held from 1963 to 1967.  After that time, there is no actual documentation that a pageant was actually held for the USA representative.  The Miss American Beauty title continued to be used for the USA representative to Miss International until approximately 2003. Coty, Inc.: Coty, Inc., is a North American beauty products manufacturer based in New York founded in Paris, France, by François Coty in 1904.  Its main products are fragrances, colour cosmetics and skin and body care products.  It is known for its cooperation with designers and celebrities for the creation of fragrances.  Its biggest brands, or ""power brands"" as it calls them, are: Calvin Klein (fragrance and cosmetics), Chloe (fragrance), Davidoff (fragrance), y (fragrance), Marc Jacobs (fragrance), Philosophy (beauty), Adidas (fragrance and beauty), Playboy (fragrance), OPI Products (beauty), Rimmel London (make-up), Max Factor (cosmetics) and Sally Hansen (beauty). La Belle Américaine: La Belle Américaine English: The American Beauty , is a French comedy film from 1961, directed by Robert Dhéry, written by Alfred Adam, starring Alfred Adam and Louis de Funès.  The film was known under the titles: ""La bella americana"" (Italy), ""The American Beauty"" (English title), ""Der tolle Amerikaner"" (West Germany). List of accolades received by American Beauty: ""American Beauty"" is a 1999 American drama film directed by Sam Mendes and written by Alan Ball.  The film stars Kevin Spacey as Lester Burnham, a middle-aged office worker who has a midlife crisis when he becomes infatuated with his teenage daughter's best friend.  Released in North America on September 15, 1999, ""American Beauty"" was positively received by critics and audiences alike; it was the best-reviewed American film of the year and grossed over $350 million worldwide.  Reviewers praised all aspects of the production, with particular emphasis on Mendes, Spacey and Ball; criticism tended to focus on the familiarity of the characters and setting.  At the 1999 Academy Awards, the film won Best Picture, Best Director, Best Actor (for Spacey), Best Original Screenplay and Best Cinematography (for Conrad Hall).  The film was nominated for and won numerous other awards and honors, mainly for the direction, writing, and acting. American Beauty/American Psycho Tour: The American Beauty/American Psycho Tour was a concert tour by American rock band Fall Out Boy.  Supporting the band's sixth stu",Kevin Spacey,hotpot
5ae518655542993aec5ec139,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,"Florida Senate: The Florida Senate is the upper house of the legislature of the U.S. state of Florida.  Along with the House of Representatives, it composes the Florida Legislature.  The Senate has 40 members, each elected from a single-member district with a population of about 470,000.  The Senate meets at the State Capitol in Tallahassee. Wisconsin Legislature: The Wisconsin Legislature is the state legislature of the U.S. state of Wisconsin.  The Legislature is a bicameral body composed of the upper house Wisconsin State Senate and the lower Wisconsin State Assembly, both of which have had Republican majorities since January 2011.  With both houses combined, the legislature has 132 members representing an equal number of constituent districts.  The Legislature convenes at the state capitol in Madison. Ken Pruitt: Ken Pruitt (born January 24, 1957) was a Republican member of the Florida Senate, representing the 28th District from 2000 to 2009.  His district includes portions of Indian River, Martin, Okeechobee, Palm Beach and St. Lucie Counties.  He was previously a member of the Florida House of Representatives from 1990 through 2000. Senate of Burkina Faso: The Senate is Burkina Faso's uncreated legislative upper chamber under the amended Constitution of Burkina Faso.  The original upper house (Chamber of Representatives) was abolished in 2002, making the legislature unicameral.  The upper house was to have been restored under the name ""Senate"" in the June 2012 constitutional amendments.  This revision was never executed due to an extended and unresolved political confrontation over the Senate's establishment, which left the country effectively with a unicameral legislature as of the October 2014 constitutional crisis. Murtaza Ahmed Khan: Murtaza A. Khan is a Member of the Legislative Council in the State of Jammu and Kashmir, India.  Born in village Narol of Poonch District of the Indian Administered State of Jammu and Kashmir, Murtaza A. Khan is a well known lawyer and widely travelled person.  He got bachelor's degree in law from Aligarh Muslim University, Master’s from USA and engaged in legal profession in Canada.  After several years of stay in North America, he returned to Jammu and Kashmir and resumed legal profession.  He joined Jammu and Kashmir Peoples Democratic Party.  headed by former Indian Home Minister Mufti Mohammed Sayeed at its inception in July 1999 as a founder member, authored its Constitution and served it in various capacities.  Was elected as Member of the Jammu and Kashmir Legislative Council (Upper House of the State's bicameral legislature) in February 2007.  He is leader of PDP's legislature party in the Upper House.  He was appointed PDP’s General Secretary in August 2007.  Known for his resolute bearing, he commands massive following and support of the Punjabi and Pothwari/Pahari speaking Muslim communities across Jammu and Kashmir. New South Wales Legislative Council: The New South Wales Legislative Council, ",40 members,hotpot
5ab985eb554299131ca42360,"Between Greyia and Calibanus, which genus contains more species?","List of Amanita species: The following is a list of some notable species of the agaric genus ""Amanita"".  This genus contains over 500 named species and varieties, but the list is far from exhaustive.  The list follows the classification of subgenera and sections of ""Amanita"" outline by Corner and Bas; Bas, as used by Tulloss (2007) and modified by Redhead & al. (2016) for ""Amanita"" subgenus ""Amanitina"" and Singer for ""Amanita"" section ""Roanokenses"".  Bolding of the species name and an asterisk (*) following indicates the species is the type species of that section, with a double asterisk (**) indicating the type species of the entire genus.  Use of common names follows Tulloss (2007), Holden (2003), Arora (1986), and Lincoff (1981). Calyptocephalellidae: The Calyptocephalellidae are a family of toads found in Chile containing two genera, ""Calyptocephalella"" and ""Telmatobufo"".  The ""Calyptocephalella"" genus contains one species, ""C. gayi"", the helmeted water toad, which is a large aquatic toad weighing up to 0.5 kg .  The ""Telmatobufo"" genus contains four species, ""T. australis"", ""T. bullocki"", ""T. ignotus"", and ""T. venustus"".  All species within the family are considered threatened, with ""T. bullocki"" and ""T. venustus"" being classified as critically endangered. Leptofoenus: Leptofoenus is a genus of wasp in the family Pteromalidae, the type genus subfamily Leptofoeninae found in South, Central, and southern North America.  The genus contains five living species and one extinct species known from early Miocene Burdigalian stage Dominican amber deposits on the island of Hispaniola.  With body sizes ranging from 11 - ""Leptofoenus"" species are larger than nearly all other species in Pteromalidae.  The genus bears a notable resemblance to the wasp families Pelecinidae, Gasteruptiidae, and Stephanidae. Banksiamyces: Banksiamyces is a genus of fungi in the order Helotiales, with a tentative placement in the family Helotiaceae.  The genus contains four species, which grow on the seed follicles of the dead infructescences or ""cones"" of various species of ""Banksia"", a genus in the plant family Proteaceae endemic to Australia.  Fruit bodies of the fungus appear as small (typically less than 10 mm diameter), shallow dark cups on the follicles of the ""Banksia"" fruit.  The edges of dry fruit bodies fold inwards, appearing like narrow slits.  The first specimens of ""Banksiamyces"", known then as ""Tympanis toomansis"", were described in 1887.  Specimens continued to be collected occasionally for almost 100 years before becoming examined more critically in the early 1980s, leading to the creation of a new genus to contain what was determined to be three distinct species, ""B. katerinae"", ""B. macrocarpus"", and ""B. toomansis"".  A fourth species, ""B. maccannii"", was added in 1984. Megalurus: Megalurus is a genus of passerine bird in the family Locustellidae.  The genus was once placed in the Old World warbler ""wastebin"" family Sylviidae.  The genus contains six species",Greyia,hotpot
5a8753d95542994846c1cd63,Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,"Tom Clancy's Net Force Explorers: Deathworld: Tom Clancy's Net Force Explorers or Net Force Explorers is a series of young adult novels created by Tom Clancy and Steve Pieczenik as a spin-off of the military fiction series Tom Clancy's Net Force. Tom Clancy's Ghost Recon 2: Summit Strike: Tom Clancy's Ghost Recon 2: Summit Strike is the expansion to ""Tom Clancy's Ghost Recon 2"".  There are several minor differences between ""Tom Clancy's Ghost Recon 2: Summit Strike"", and ""Tom Clancy's Ghost Recon 2"".  The most notable being the difficulty, Summit Strike being regarded as the harder of the two.  Other differences would include new multiplayer modes, such as Heli Hunt. John Updike: John Hoyer Updike (March 18, 1932 – January 27, 2009) was an American novelist, poet, short story writer, art critic, and literary critic.  One of only three writers to win the Pulitzer Prize for Fiction more than once (the others were Booth Tarkington and William Faulkner), Updike published more than twenty novels, more than a dozen short-story collections, as well as poetry, art and literary criticism and children's books during his career. Tom Clancy: Thomas Leo ""Tom"" Clancy Jr. (April 12, 1947 – October 1, 2013) was an American novelist best known for his technically detailed espionage and military-science story lines set during and after the Cold War.  Seventeen of his novels were bestsellers, and more than 100 million copies of his books are in print.  His name was also used on movie scripts written by ghost writers, nonfiction books on military subjects, and video games.  He was a part-owner of the Baltimore Orioles and vice-chairman of their community activities and public affairs committees. Tom Clancy's Net Force Explorers: Safe House: Tom Clancy's Net Force Explorers or Net Force Explorers is a series of young adult novels created by Tom Clancy and Steve Pieczenik as a spin-off of the military fiction series Tom Clancy's Net Force. Tom Clancy's Net Force Explorers: High Wire: Tom Clancy's Net Force Explorers or Net Force Explorers is a series of young adult novels created by Tom Clancy and Steve Pieczenik as a spin-off of the military fiction series Tom Clancy's Net Force. Tom Clancy's Net Force Explorers: Gameprey: Tom Clancy's Net Force Explorers or Net Force Explorers is a series of young adult novels created by Tom Clancy and Steve Pieczenik as a spin-off of the military fiction series Tom Clancy's Net Force. Tom Clancy's Rainbow 6: Patriots: Tom Clancy's Rainbow 6: Patriots is a cancelled first-person shooter video game, part of the ""Tom Clancy's Rainbow Six"" series, announced on the cover of the December 2011 issue of ""Game Informer"".  It was to be published by Ubisoft, and was developed by the company's Montreal studio, with additional development by Ubisoft Toronto and Red Storm Entertainment.  Due to the death of Tom Clancy in October 2013, concern was raised that this game would become the last to bear his name.  Ubisoft has since stated that they wi",yes,hotpot
5ab97d0a5542996be202051e,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,"Benjamin Lincoln: Benjamin Lincoln (January 24, 1733 (O.S. January 13, 1732) – May 9, 1810) was an American army officer.  He served as a major general in the Continental Army during the American Revolutionary War.  Lincoln is notable for being involved in three major surrenders during the war: his participation in the Battles of Saratoga (sustaining a wound shortly afterward) contributed to John Burgoyne's surrender of a British army, he oversaw the largest American surrender of the war at the 1780 Siege of Charleston, and, as George Washington's second in command, he formally accepted the British surrender at Yorktown. 1st Virginia State Regiment: The 1st Virginia State Regiment was a regiment of Virginia Militia that fought during the American Revolutionary War.  The regiment was authorized by the General Assembly of the Commonwealth of Virginia in December 1776 as a force of regular troops for the Commonwealth's defense.  In 1777, Virginia had difficulty meeting its quota for the regular line of the Continental Army.  As a result, in July 1777 under the command of Colonel George Gibson, the regiment began a march North to temporarily join the Continental Army in the Philadelphia Campaign.  In January 1778, the Virginia General Assembly passed an act directing that the 1st Virginia State Regiment ""now in Continental service, be continued in said service instead of the Ninth Virginia Regiment, made prisoners by the enemy in the Battle of Germantown.""  The regiment camped at Valley Forge in the winter of 1777-78 and at Middlebrook in the winter of 1778-79 and participated in the Battle of Monmouth.  The regiment remained in the service of the Continental Army until late 1779 when redeployed Virginia.  Unlike the standard division of eight found in the regular line regiments of the Continental Army, the 1st Virginia State Regiment consisted of ten companies including one of light infantry. Siege of Yorktown: The Siege of Yorktown, also known as the Battle of Yorktown, the Surrender at Yorktown, German Battle or the Siege of Little York, ending on October 19, 1781, at Yorktown, Virginia, was a decisive victory by a combined force of American Continental Army troops led by General George Washington and French Army troops led by the Comte de Rochambeau over a British Army commanded by British peer and Lieutenant General Charles Cornwallis.  The culmination of the Yorktown campaign, the siege proved to be the last major land battle of the American Revolutionary War in the North American theater, as the surrender by Cornwallis, and the capture of both him and his army, prompted the British government to negotiate an end to the conflict.  The battle boosted faltering American morale and revived French enthusiasm for the war, as well as undermining popular support for the conflict in Great Britain. Benedict Arnold: Benedict Arnold (January 14, 1741 [O.S. January 3, 1740] June 14, 1801) was a general during the American Revolutionary War, who fought for ",John André,hotpot
5adef1b35542993a75d263af,which Mexican and American film actress is Ethel Houbiers  French voice of ,"Béatrice Picard: Béatrice Picard, {'1': "", '2': "", '3': "", '4': ""} , {'1': "", '2': "", '3': "", '4': ""} (born July 3, 1929 in Montreal, Quebec) is a Canadian actress.  She is well known in Quebec for the countless roles she has played on the French Canadian theatre and television scene during an ongoing acting career spanning over six decades.  She became a household name in Quebec for her acting role as Angelina Desmarais in one of the first French Canadian ""télé-roman"" series called ""Le survenant"" in the early days of French-speaking television.  She then went on to a prolific career in televised comedies such as ""Cré Basil"" and ""Symphorien"".  She also played in numerous theatre productions, summer plays, and films.  Most recently, she is well known as the Quebec French voice of Marge Simpson in ""The Simpsons"". Emmanuel Curtil: Emmanuel Curtil (born 7 February 1971) is a French actor known primarily for his voice work, having dubbed the voice of Matthew Perry (Chandler) for the first eight seasons of the American sitcom ""Friends"".  Curtil is also the ""French voice"" of Jim Carrey.  He is also the current voice of Goofy, assuming that duty from Gérard Rinaldi, who died in 2012. Ethel Houbiers: Ethel Houbiers is a French voice actress.  She is the French voice of Penélope Cruz and Salma Hayek. Salma Hayek: Salma Hayek Pinault ( Hayek Jiménez) (born September 2, 1966), known professionally as Salma Hayek, is a Mexican and American film actress, producer, and former model.  She began her career in Mexico starring in the telenovela ""Teresa"" and starred in the film ""El Callejón de los Milagros"" (""Miracle Alley"") for which she was nominated for an Ariel Award.  In 1991 Hayek moved to Hollywood and came to prominence with roles in movies such as ""Desperado"" (1995), ""From Dusk Till Dawn"" (1996), ""Dogma"" (1999), and ""Wild Wild West"" (1999). Dorothée Jemma: Dorothée Jemma (born June 16, 1956) is a French voice actress specializing in dubbing.  She is the dub voice of Jennifer Aniston, Melanie Griffith and Sheryl Lee. Roger Carel: Roger Carel (born Roger Bancharel; 14 August 1927) is a French actor and voice talent, known for his recurring film roles as Asterix, the French voice of ""Star Wars'"" C-3PO, and the French voice of ""Winnie the Pooh"".  He is also dubbing David Suchet as Hercule Poirot in Agatha Christie's Poirot.  He voiced Wally Gator, Mickey Mouse and Woody Woodpecker in French.  He was born in Paris, France. Lisette Dufour: Lisette Dufour (Born 1949) is a Québécoise voice actress who is better known as the French voice of Lisa Simpson on ""The Simpsons"". Bernard Alane: Bernard Alane (born Bernard Noël Vetel 25 December 1948 in Paris) is a French actor and singer, he is the son of actress Annick Alane.  He is best known in France for his roles in two films directed by Edouard Molinaro, ""Hibernatus"" and ""Mon oncle Benjamin"", but has achieved better fame as voice actor, practically in dubbing.  He is the official French voice of Stanley Tucci and Ray ",Salma Hayek Pinault,hotpot
5a73b55855429978a71e9086,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,"Dubai International Airport: Dubai International Airport (IATA: DXB, ICAO: OMDB) (Arabic: مطار دبي الدولي‎ ‎ ) is the primary international airport serving Dubai, United Arab Emirates and is the world's busiest airport by international passenger traffic.  It is also the 3rd busiest airport in the world by passenger traffic, the 6th busiest cargo airport in world, the busiest airport for Airbus A380 and Boeing 777 movements, and the busiest airport in the world operating with only two runways.  In 2016, DXB handled 83.6 million passengers, 2.59 million tonnes of cargo and registered 418,220 aircraft movements. Gatwick Airport: Gatwick Airport (also known as London Gatwick) (IATA: LGW, ICAO: EGKK) is a major international airport in south-east England, 29.5 mi south of Central London and 2.7 NM north of Crawley.  It is the second-busiest airport by total passenger traffic in the United Kingdom, after London Heathrow.  Gatwick is the eighth-busiest airport in Europe.  Until 2016, it was the busiest single-use runway airport in the world before being overtaken by Mumbai's Chhatrapati Shivaji International Airport. Coimbatore International Airport: Coimbatore International Airport (IATA: CJB, ICAO: VOCB) is the primary airport serving the city of Coimbatore in Tamil Nadu.  It is located at Peelamedu, about 13 km from the center of the city.  Previously known as Peelamedu Civil Aerodrome, it is the 19th busiest airport in India in terms of passengers handled, 16th busiest in terms of total aircraft movement and 14th busiest in terms of cargo handled.  The airport is the second largest airport in terms of passenger traffic and cargo after Chennai International Airport In Tamil Nadu.  About five domestic and three international airlines serve the airport.  The Airport also serves as a growing hub for Cargo transportation. Vancouver International Airport: Vancouver International Airport (IATA: YVR, ICAO: CYVR) is located on Sea Island in Richmond, British Columbia, Canada, about 12 km from Downtown Vancouver.  It is the second busiest airport in Canada by aircraft movements (306,799) and passengers (22.3 million), behind Toronto Pearson International Airport.  It has non-stop flights daily to Asia, Europe, Oceania, the United States, Mexico and other airports within Canada.  The airport has won several notable international best airport awards; it won the Skytrax Best North American Airport award in 2007 and 2010 through 2017.  The airport also made the list of top 10 airports in the world for the first time in 2012, rated at 9th (2012), 8th (2013), and 9th (2014) overall.  It is the only North American airport included in the top 10 for 2013 and 2014.  YVR also retains the distinction of Best Canadian Airport in the regional results.  It is a hub for Air Canada and WestJet.  It is also an operating base for Air Transat.  Vancouver International Airport is one of eight Canadian airports that have US Border Preclearance facilities.  It is also one of the f",Gatwick Airport,hotpot
5ae80919554299540e5a56f6,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,"Scharfenstein Castle (Kiedrich): Scharfenstein Castle (German: ""Burg Scharfenstein"" ), a ruined castle near the town of Kiedrich in Hesse, Germany, was part of the Bishopric of Mainz’s border fortifications.  It was erected in 1160 under Christian I (Archbishop of Mainz). Abergairn Castle: Abergairn Castle is a ruined castle, dating from the 17th century, about one mile north of Ballater, Aberdeenshire, Scotland.  It is built on the top of an isolated kame, at the north east of the entrance to Glen Gairn. Château de Longwy: The Château de Longwy is a ruined castle, incorporated into the town's fortifications, in the ""commune"" of Longwy in the Meurthe-et-Moselle ""département"" of France. Clun Castle: Clun Castle is a ruined castle in the small town of Clun, Shropshire.  Clun Castle was established by the Norman lord Robert de Say after the Norman invasion of England and went on to become an important Marcher lord castle in the 12th century, with an extensive castle-guard system.  Owned for many years by the Fitzalan family, Clun played a key part in protecting the region from Welsh attack until it was gradually abandoned as a property in favour of the more luxurious Arundel Castle.  The Fitzalans converted Clun Castle into a hunting lodge in the 14th century, complete with pleasure gardens, but by the 16th century the castle was largely ruined.  Slighted in 1646 after the English Civil War Clun remained in poor condition until renovation work in the 1890s. Inch Castle: Inch Castle is a ruined castle located on the southern tip of Inch Island in County Donegal, Ireland.  The castle was constructed around 1430 by the Gaelic Irish lord Neachtain O'Donnell for his father-in-law Cahir O'Doherty.  The O'Doherty's were the dominant family on the nearby peninsula of Inishowen and had close links with the O'Donnells.  It came to form part of the defensive network of O'Doherty fortifications designed to protect them from rival clans and to overawe those who accepted their overlordship. Castillo de Tabernas: Castillo de Tabernas is a ruined castle on the outskirts of the municipality of Tabernas, Almería province, in the autonomous community of Andalusia, Spain.  It was built in the 11th century during the time of Arab domination.  It is of Moorish style and is situated on top of a hill.  When it was built, it occupied the entire hill, though currently only a part is preserved.  In 1993, it was declared a Bien de Interés Cultural monument.  During the siege of Almeria, Ferdinand and Isabella ensconced themselves in the castle. Wegelnburg: The Wegelnburg is a ruined castle near Schönau in the Palatinate Forest in Rhineland-Palatinate, Germany, near the border with France.  Its location is at a height of 572m, making it the highest ruined castle in the Palatinate Forest. Cairnburgh Castle: Cairnburgh Castle is a ruined castle that is located on the islands of Cairn na Burgh Mòr and Cairn na Burgh Beag, Argyll and Bute, Scotland.  These islands are at the northe",The Changing Scottish Landscape,hotpot
