dataset,seed,chunk_size,embedding,reranking,question,gold_answer,generated_answer,hit_at_k,latency_ms
squad,42,256,baai,True,"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom,Allan Bloom.,1,749.19
squad,42,256,baai,True,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors,Immunoglobulins and T cell receptors.,1,599.69
squad,42,256,baai,True,In what year did Priestley publish the findings of his experiments?,1775,1775.,1,618.81
squad,42,256,baai,True,The presence of who is highly likely even in small projects?,the mortgage banker,The mortgage banker.,1,504.13
squad,42,256,baai,True,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria,Anaerobic bacteria.,1,676.39
squad,42,256,baai,True,What did Tymnet connect ,"connect host computers (servers)at thousands of large companies, educational institutions, and government agencies",Host computers (servers) at thousands of large locations.,0,638.85
squad,42,256,baai,True,What is the high end of the temperature range in winter?,70,70's.,1,394.97
squad,42,256,baai,True,"What month, every four years, are the ordinary general elections held on?",May,May.,1,743.08
squad,42,256,baai,True,What entity owns V/Line?,Victorian Government,The Victorian Government.,1,403.11
squad,42,256,baai,True,What law connects relative velocities with inertia?,Newton's First,Newton's First Law.,1,637.25
squad,42,256,baai,True,How many times less is the strenght of the weak field compared to the strong?,1013,The strength of the weak field is some 1013 times less than that of the strong force.,1,499.13
squad,42,256,baai,True,Persistent unemployment has what effect on long-term economic growth?,negative,Persistent unemployment has a negative effect on long-term economic growth.,1,610.33
squad,42,256,baai,True,What did Joseph Haas say in his email?,"""Wise up or die.""","""Wise up or die.""",1,437.69
squad,42,256,baai,True,Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance,The Old Rhine Bridge at Constance.,1,467.16
squad,42,256,baai,True,What have the two different Islamist movements been described as oscillating between?,poles,Two poles.,1,566.03
squad,42,256,baai,True,When was the great plague of London?,1665,"There is no specific information about the ""great plague of London"" in the given context. However, it is mentioned that the Black Death subsided by the end of 1350, and further outbreaks occurred in England over the next few hundred years.",0,637.01
squad,42,256,baai,True,What do clinical pharmacists often participate in?,patient care rounds drug product selection,Patient care rounds and drug product selection.,1,411.24
squad,42,256,baai,True,Where do ctenophora live?,marine waters,Marine waters worldwide.,1,819.18
squad,42,256,baai,True,A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen,Lake Überlingen.,1,573.37
squad,42,256,baai,True,Dendritic cells present antigens to what cells of the adaptive nervous system?,T cells,T cells.,1,500.34
squad,42,256,baai,True,The Maroons compete in what league division?,NCAA's Division III,Division III.,1,521.36
squad,42,256,baai,True,What Jacksonville community is known for having heavy ties to the Navy?,Filipino,The Filipino community.,1,510.23
squad,42,256,baai,True,How was the Dutch name for the Rhine originally spelled? ,Rhijn,Rhijn.,1,766.55
squad,42,256,baai,True,What is another term for university-preparatory schools?,prep schools,"""prep schools""",1,621.95
squad,42,256,baai,True,What are the skin cells that can be transformed into tumors known as?,melanocytes,Melanocytes.,1,748.5
squad,42,256,baai,True,Who is eligible to toss their name in the hat to be First Minister?,Any member,Any member of Parliament.,1,661.52
squad,42,256,baai,True,Which nation contains the majority of the amazon forest?,Brazil,"Brazil contains the majority of the Amazon forest, with 60% of the Amazon basin.",0,714.33
squad,42,256,baai,True,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003,2003.,1,676.49
squad,42,256,baai,True,What are some existing facilities?,"electrical, water, sewage, phone, and cable facilities","Electrical, water, sewage, phone, and cable facilities.",1,528.22
squad,42,256,baai,True,Where is much of the work of the Scottish Parliament done?,committee,In committee.,1,433.08
squad,42,256,baai,True,What must the adoption of laws which will have legal effect in the EU have?,a proper legal basis,A proper legal basis.,1,2810.53
squad,42,256,baai,True,What is located within this district?,the oldest street in the United States of America,The oldest street in the United States of America.,1,2499.76
squad,42,256,baai,True,What garden was formally only for royalty?,The Saxon Garden,The Saxon Garden.,1,2769.82
squad,42,256,baai,True,When are subject committees established?,beginning of each parliamentary session,At the beginning of each parliamentary session.,1,2580.4
squad,42,256,baai,True,How many protestants live in France today?,one million,Approximately one million Protestants.,1,2491.6
squad,42,256,baai,True,What was the civil war against Ragibagh also called?,the War of the Two Capitals,The War of the Two Capitals.,1,2866.46
squad,42,256,baai,True,What is a twin prime?,pairs of primes with difference 2,Pairs of primes with a difference of 2.,1,2607.89
squad,42,256,baai,True,"According to the wealth concentration theory, what advantage do the wealthy have in accumulating new wealth?",means to invest,The wealthy have the means to invest in new sources of creating wealth or to otherwise leverage the accumulation of wealth.,1,2623.06
squad,42,256,baai,True,What happens when bathocyroe and ocyropsis clap their lobes together?,jet of expelled water drives them backwards very quickly.,They escape from danger by driving themselves backwards very quickly with the jet of expelled water.,1,2792.91
squad,42,256,baai,True,Who did Alexander I marry?,Sybilla of Normandy,Sybilla of Normandy.,1,2713.08
squad,42,256,baai,True,When are the new Sky Q products going to be available?,2016,2016.,1,2603.26
squad,42,256,baai,True,What city in Victoria is called the sporting capital of Australia?,Melbourne,Melbourne.,1,2647.29
squad,42,256,baai,True,What did Maududi believe Muslim society could not be Islamic in the absence of?,Sharia,Sharia.,1,2537.61
squad,42,256,baai,True,What would be needed to host a larger population?,agriculture,Agriculture.,1,2835.99
squad,42,256,baai,True,What Swiss city was the center of the Calvinist movement?,Geneva,Geneva.,1,2714.3
squad,42,256,baai,True,What was the very first television station to broadcast in Fresno?,KMJ-TV,"KMJ-TV, which debuted on June 1, 1953.",1,2676.04
squad,42,256,baai,True,When did France and the Dutch fight in the 17th century?,1672,1672.,1,2514.31
squad,42,256,baai,True,"Who suggested that imperialism was the ""highest"" form of capitalism?",Lenin,Lenin.,1,2714.94
squad,42,256,baai,True,How are ergänzungsschulen funded?,tuition,Ergänzungsschulen are funded in whole by charging their students tuition fees.,1,2493.71
squad,42,256,baai,True,What period did plates reverse directions to compress the Tethys floor?,Jurassic Period,The Jurassic Period.,1,2727.95
squad,42,256,baai,False,"What alumni wrote ""The Closing of the American Mind""?",Allan Bloom,Allan Bloom.,1,410.38
squad,42,256,baai,False,What molecules of the adaptive immune system only exist in jawed vertebrates?,immunoglobulins and T cell receptors,Immunoglobulins and T cell receptors.,1,247.62
squad,42,256,baai,False,In what year did Priestley publish the findings of his experiments?,1775,1775,1,286.88
squad,42,256,baai,False,The presence of who is highly likely even in small projects?,the mortgage banker,The mortgage banker.,1,2282.47
squad,42,256,baai,False,To what pathogen that causes gas gangrene is oxygen poisonous?,anaerobic bacteria,Anaerobic bacteria.,1,2292.46
squad,42,256,baai,False,What did Tymnet connect ,"connect host computers (servers)at thousands of large companies, educational institutions, and government agencies",Host computers (servers) at thousands of large locations.,0,2419.58
squad,42,256,baai,False,What is the high end of the temperature range in winter?,70,70's.,1,2248.01
squad,42,256,baai,False,"What month, every four years, are the ordinary general elections held on?",May,May.,1,2299.07
squad,42,256,baai,False,What entity owns V/Line?,Victorian Government,The Victorian Government.,1,2247.47
squad,42,256,baai,False,What law connects relative velocities with inertia?,Newton's First,Newton's First Law.,1,2455.94
squad,42,256,baai,False,How many times less is the strenght of the weak field compared to the strong?,1013,The strength of the weak field is some 1013 times less than that of the strong force.,1,2326.91
squad,42,256,baai,False,Persistent unemployment has what effect on long-term economic growth?,negative,Persistent unemployment has a negative effect on long-term economic growth.,1,2275.07
squad,42,256,baai,False,What did Joseph Haas say in his email?,"""Wise up or die.""","""Wise up or die.""",1,2371.95
squad,42,256,baai,False,Where does the Rhine river's measurement begin?,Old Rhine Bridge at Constance,The Old Rhine Bridge at Constance.,1,2292.79
squad,42,256,baai,False,What have the two different Islamist movements been described as oscillating between?,poles,Two poles.,1,2282.68
squad,42,256,baai,False,When was the great plague of London?,1665,1665.,1,2290.77
squad,42,256,baai,False,What do clinical pharmacists often participate in?,patient care rounds drug product selection,Patient care rounds and drug product selection.,1,2389.29
squad,42,256,baai,False,Where do ctenophora live?,marine waters,Marine waters worldwide.,1,2334.31
squad,42,256,baai,False,A small fraction of the cold water flow from Lake Constance goes to what other lake?,Lake Überlingen,Lake Überlingen.,1,2283.48
squad,42,256,baai,False,Dendritic cells present antigens to what cells of the adaptive nervous system?,T cells,T cells.,1,2263.02
squad,42,256,baai,False,The Maroons compete in what league division?,NCAA's Division III,Division III.,1,2386.51
squad,42,256,baai,False,What Jacksonville community is known for having heavy ties to the Navy?,Filipino,The Filipino community in Jacksonville.,1,2268.81
squad,42,256,baai,False,How was the Dutch name for the Rhine originally spelled? ,Rhijn,Rijn (formerly also spelled Rhijn).,1,2323.9
squad,42,256,baai,False,What is another term for university-preparatory schools?,prep schools,"""prep schools""",1,2274.67
squad,42,256,baai,False,What are the skin cells that can be transformed into tumors known as?,melanocytes,Melanocytes.,1,2289.04
squad,42,256,baai,False,Who is eligible to toss their name in the hat to be First Minister?,Any member,Any member of Parliament.,1,2326.1
squad,42,256,baai,False,Which nation contains the majority of the amazon forest?,Brazil,"Brazil, with 60% of the rainforest.",1,2352.08
squad,42,256,baai,False,Starting in what year has Harvard topped the Academic Rankings of World Universities?,2003,2003.,1,2544.5
squad,42,256,baai,False,What are some existing facilities?,"electrical, water, sewage, phone, and cable facilities","Electrical, water, sewage, phone, and cable facilities.",1,2252.8
squad,42,256,baai,False,Where is much of the work of the Scottish Parliament done?,committee,In committee.,1,2361.98
squad,42,256,baai,False,What must the adoption of laws which will have legal effect in the EU have?,a proper legal basis,A proper legal basis.,1,2403.72
squad,42,256,baai,False,What is located within this district?,the oldest street in the United States of America,The oldest street in the United States of America.,1,2271.59
squad,42,256,baai,False,What garden was formally only for royalty?,The Saxon Garden,The Saxon Garden.,1,2324.38
squad,42,256,baai,False,When are subject committees established?,beginning of each parliamentary session,At the beginning of each parliamentary session.,1,2260.29
squad,42,256,baai,False,How many protestants live in France today?,one million,Approximately one million Protestants.,1,2259.6
squad,42,256,baai,False,What was the civil war against Ragibagh also called?,the War of the Two Capitals,The War of the Two Capitals.,1,2428.18
squad,42,256,baai,False,What is a twin prime?,pairs of primes with difference 2,Pairs of primes with a difference of 2.,1,2395.46
